Plate_num,Well,Sample,Category,Subcategory,Person,Order,Num_strands,Weight_mg,Reconst_buffer_ml,Sample_well_ml,Buffer_well_ml,Buffer_tube_ml,Dilution_factor_sample,Spike,Spike_well_ml,Spike_tube_ml,Dilution_factor_spike,Extraction_ratio,Comments,OD,Binding_perc,Conc_pg_ml,Ave_conc_pg_ml,CV_perc,SD,SEM,Std_recovery
9,H5,P20-SP1:8,P20-SP,Paloma,NA,17,NA,20,0.22,0.025,0,0,8,1,0.025,0,1,1.4,NA,0.62,76.2,214.7,214.7,NA,NA,0,NA
9,A6,P20-SP1:16,P20-SP,Paloma,NA,18,NA,20,0.22,0.025,0,0,16,1,0.025,0,1,1.4,NA,0.588,71.9,264.8,264.8,NA,NA,0,NA
9,B6,P20-SP1:16,P20-SP,Paloma,NA,18,NA,20,0.22,0.025,0,0,16,1,0.025,0,1,1.4,NA,0.576,70.3,284.9,284.9,NA,NA,0,NA
9,E6,Spike1:2,Spike,Spike,NA,0,NA,1,0.22,0,0.025,0,2,1,0.025,0,1,1.4,NA,0.506,61,420,420,NA,NA,0,NA
9,F6,Spike1:2,Spike,Spike,NA,0,NA,1,0.22,0,0.025,0,2,1,0.025,0,1,1.4,NA,0.615,75.5,222.2,222.2,NA,NA,0,NA
9,G6,Spike1:2,Spike,Spike,NA,0,NA,1,0.22,0,0.025,0,2,1,0.025,0,1,1.4,NA,0.613,75.2,225.2,225.2,NA,NA,0,NA
9,H6,Spike1:2,Spike,Spike,NA,0,NA,1,0.22,0,0.025,0,2,1,0.025,0,1,1.4,NA,0.647,79.8,175.6,175.6,NA,NA,0,NA
9,A7,Spike1:2,Spike,Spike,NA,0,NA,1,0.22,0,0.025,0,2,1,0.025,0,1,1.4,NA,0.56,68.2,312.9,312.9,NA,NA,0,NA
9,B7,Spike1:2,Spike,Spike,NA,0,NA,1,0.22,0,0.025,0,2,1,0.025,0,1,1.4,NA,0.592,72.5,258.3,258.3,NA,NA,0,NA
9,C7,P10-1:2,P10,Paloma,NA,0,NA,10,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.56,68.2,312.9,312.9,NA,NA,0,NA
9,D7,P10-1:2,P10,Paloma,NA,1,NA,10,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.525,63.5,379.8,379.8,NA,NA,0,NA
9,E7,P10-1:2,P10,Paloma,NA,1,NA,10,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.535,64.9,359.8,359.8,NA,NA,0,NA
9,F7,P10-1:2,P10,Paloma,NA,1,NA,10,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.531,64.3,367.7,367.7,NA,NA,0,NA
9,G7,P10-1:2,P10,Paloma,NA,1,NA,10,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.554,67.4,323.8,323.8,NA,NA,0,NA
9,H7,P10-1:2,P10,Paloma,NA,1,NA,10,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.575,70.2,286.6,286.6,NA,NA,0,NA
9,A8,P20-1:2,P20,Paloma,NA,13,NA,20,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.338,38.7,996.8,996.8,NA,NA,0,NA
9,B8,P20-1:2,P20,Paloma,NA,13,NA,20,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.355,40.9,909,909,NA,NA,0,NA
9,C8,P20-1:2,P20,Paloma,NA,13,NA,20,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.373,43.3,826.6,826.6,NA,NA,0,NA
9,D8,P20-1:2,P20,Paloma,NA,13,NA,20,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.339,38.8,991.3,991.3,NA,NA,0,NA
9,E8,P20-1:2,P20,Paloma,NA,13,NA,20,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.345,39.6,959.3,959.3,NA,NA,0,NA
9,F8,P20-1:2,P20,Paloma,NA,13,NA,20,0.22,0.05,0,0,2,0,0,0,0,1.4,NA,0.345,39.6,959.3,959.3,NA,NA,0,NA
9,G8,P20-1:1,PC-precision,Paloma,NA,20,NA,20,0.22,0.05,0,0,1,0,0,0,0,1.4,NA,0.303,34,1217,1217,NA,NA,0,NA
9,H8,P20-1:1,PC-precision,Paloma,NA,20,NA,20,0.22,0.05,0,0,1,0,0,0,0,1.4,NA,0.307,34.5,1189,1189,NA,NA,0,NA
9,A9,P20-1:1,PC-precision,Paloma,NA,20,NA,20,0.22,0.05,0,0,1,0,0,0,0,1.4,NA,0.269,29.5,1508,1508,NA,NA,0,NA
9,B9,P20-1:1,PC-precision,Paloma,NA,20,NA,20,0.22,0.05,0,0,1,0,0,0,0,1.4,NA,0.28,30.9,1403,1403,NA,NA,0,NA
9,G10,Pool,Pool,Ref_values,NA,90,NA,20,0.22,0.05,0,NA,1,0,0,0,0,1.4,NA,0.422,49.8,643.5,643.5,NA,NA,0,NA
9,H10,Pool,Pool,Ref_values,NA,98,NA,20,0.22,0.05,0,NA,1,0,0,0,0,1.4,NA,0.448,53.3,564.6,564.6,NA,NA,0,NA
